isbn,title,author,qty,site,existing_availability,url
9780143441359,"Remembering Partition [Paperback] [Jan 01, 2017] Various",Sonia Mehta,1,commonfolks,,https://www.commonfolks.in/books/d/remembering-partition
9789385309779,Vigyapan Prabandhan mein Lalit Kalaon Ka Yogdan (Hindi),Rahul Krishan,1,exoticindia,,https://www.exoticindiaart.com/book/details/contribution-of-fine-arts-in-advertising-management-uaf989/
9788197036095,Pedakam (പേടകം),Kottayam Pushpanath,1,exoticindia,,https://www.exoticindiaart.com/book/details/series-sanjhi-sanskriti-ke-nirmata-set-of-3-books-hcc602/
9788183453547,Jayakandhan Sirukathaigal (I & II Set) (Short Stories),Jayakanthan,1,commonfolks,,https://www.commonfolks.in/books/d/jeyakanthan-sirukathaigal-kavitha-publication
9788193279540,On India: Articles and Book Reviews,Clemens Palme Dutt,1,commonfolks,,https://www.commonfolks.in/books/d/pazhntamizh-samuthaayamum-varalaarum-tamizhini
9788170846178,"Upanishadsanchyanam Volume 1,2 & 3 (Paperback)",Achary Keshav Lal V Shastri,1,exoticindia,,https://www.exoticindiaart.com/book/details/108-108-upanishads-in-three-volumes-nzk427/
9788185857190,Catalogue of Sanskrit and Prakrit manuscripts : Munirāja Śrī Puṇyavijayaji's collection,Puṇyavijaya,1,exoticindia,,https://www.exoticindiaart.com/book/details/catalogue-of-manuscripts-l-d-institute-of-indology-collection-vol-5-hbt192/
9788195506859,TEXT BOOK OF SHALYA TANTRA VOL. 1-2,Dr. Manoj Kumar Chaurasiya,1,exoticindia,,https://www.exoticindiaart.com/book/details/text-book-of-shalya-tantra-set-of-2-volumes-uaq475/
9788187892670,"International Conference on Thirukkural - May 17th to 19th, 2017 Thirukkural as an Ethical Corpus of Universal Appeal",G. John Samuel,1,exoticindia,,https://www.exoticindiaart.com/book/details/international-conference-on-thirukkural-may-17th-to-19th-2017-thirukkural-as-ethical-corpus-of-universal-appeal-nay809/
9788190809139,Ayurvedic useful plants of India,C.H. Drury,1,exoticindia,,https://www.exoticindiaart.com/book/details/ayurvedic-useful-plants-of-india-128-illustrations-hca939/
9788192499772,Sãśodhana : svarupa āṇi vyāptī = Sanshodhan : swaroop ani vyaptee,"""Sãśodhana : Svarupa āṇi Vyāptī"" (Seminar)",1,commonfolks,,https://www.commonfolks.in/books/d/annal-nabigalarin-azhagiya-varalaru
9789388039482,Rajasthani-Hindi-English Folk Dictionary,Nand Kishor Pandey,1,exoticindia,,https://www.exoticindiaart.com/book/details/rajasthani-hindi-english-folk-dictionary-uad220/
9789391642853,DICTIONARY OF BHATARI,"SUKRITA TIRKEY,Piyusa Ranjan Sahoo,Kishan Kumar",1,exoticindia,,https://www.exoticindiaart.com/book/details/dictionary-of-bhatari-bhatara-tribe-of-bastar-chhattisgarh-bhatari-hindi-english-hcj542/
9788170849384,Illustrated Textbook of Shalakya Tantra ( Shiro -Karna -Nasa -Mukharoga-Netra Roga (Opthalmology)) Part 1 & 2 Revised Edition Based on latest NCISM ... As per Ayurveda Medical Curriculum,Dr DIngari Lakshman Chary,1,exoticindia,,https://www.exoticindiaart.com/book/details/illustrated-textbook-of-shalakya-tantra-netra-roga-opthalmology-and-shiro-karna-nasa-mukharoga-set-of-2-volumes-hci348/
9788197223259,Bhartiya- Go - Vaibhavam,M.A. Alwar,1,exoticindia,,https://www.exoticindiaart.com/book/details/bharatiya-go-vaibhavam-comprehensive-account-of-various-facets-of-indian-cows-hbi369/
9788170822363,Dev Keralam Vol 1-2,Lt. Co.Raj Kumar,1,exoticindia,,https://www.exoticindiaart.com/book/details/deva-keralam-set-of-two-volumes-nzk748/
9789381456392,बिहार विधानमंडल में रामचरित्र सिंह के सम्भाषण,"सिंह, रामचरित्र, 1885-1966, author",1,exoticindia,,https://www.exoticindiaart.com/book/details/ram-charitra-singh-s-speech-in-bihar-legislative-assembly-haq781/
9788183902632,Aankho Me Rahe Nirala,Amīra Canda Vaiśya,1,exoticindia,,https://www.exoticindiaart.com/book/details/nirala-in-eyes-uaj590/
9788196370992,Pankhheen - Ek Prem Katha,Ashok Krishn,1,exoticindia,,https://www.exoticindiaart.com/book/details/srimad-bhagavatam-sarartha-darsini-commentary-by-srila-visvanatha-cakravarti-thakkura-volumes-7-and-8-canto-10-transliteration-and-english-translation-nad046/
9788190130561,A Wedding In the House,Anju Poddar,1,exoticindia,,https://www.exoticindiaart.com/book/details/wedding-in-house-ceremonies-relating-to-weddings-childbirth-uah514/
